VBELN,ERDAT,AUART,KUNNR,VKORG,VTWEG,SPART,WAERK
OR00002911,2022-06-27,RE,C000036,3000,20,02,USD
OR00002912,2021-02-13,RE,C000079,1000,10,01,GBP
OR00002913,2023-09-07,RE,C000060,2000,20,00,EUR
OR00002914,2024-07-15,OR,C000017,2000,20,01,GBP
OR00002915,2022-06-20,OR,C000045,2000,30,00,GBP
OR00002916,2023-07-13,ZOR,C000063,2000,30,02,GBP
OR00002917,2023-09-18,OR,C000045,1000,30,01,USD
OR00002918,2024-01-06,OR,C000008,1000,30,00,USD
OR00002919,2023-01-06,OR,C000015,2000,20,02,USD
OR00002920,2022-09-15,OR,C000060,1000,20,00,USD
OR00002921,2022-10-08,RE,C000012,2000,30,02,EUR
OR00002922,2023-08-23,ZOR,C000028,1000,20,02,EUR
OR00002923,2023-12-01,ZOR,C000031,1000,10,01,EUR
OR00002924,2022-04-27,OR,C000056,3000,30,00,USD
OR00002925,2022-11-20,ZOR,C000021,3000,10,02,USD
OR00002926,2024-03-16,ZOR,C000029,3000,20,02,EUR
OR00002927,2023-11-21,OR,C000059,3000,10,00,GBP
OR00002928,2024-09-08,RE,C000003,1000,30,02,USD
OR00002929,2023-09-30,RE,C000021,2000,20,01,USD
OR00002930,2022-12-11,OR,C000005,2000,20,00,EUR
OR00002931,2023-05-20,ZOR,C000011,3000,10,00,GBP
OR00002932,2023-07-12,ZOR,C000060,3000,30,02,GBP
OR00002933,2021-11-13,OR,C000079,3000,20,01,EUR
OR00002934,2023-04-15,ZOR,C000012,2000,30,01,EUR
OR00002935,2023-08-21,RE,C000075,3000,30,01,GBP
OR00002936,2022-04-08,ZOR,C000051,1000,20,01,GBP
OR00002937,2023-10-25,OR,C000007,2000,30,00,GBP
OR00002938,2023-05-15,ZOR,C000021,3000,10,01,USD
OR00002939,2024-06-12,ZOR,C000056,2000,20,01,EUR
OR00002940,2021-08-21,OR,C000003,1000,10,00,USD
OR00002941,2022-08-06,OR,C000033,1000,30,00,GBP
OR00002942,2023-05-28,OR,C000035,3000,20,02,EUR
OR00002943,2022-09-08,ZOR,C000027,3000,20,01,EUR
OR00002944,2023-08-25,RE,C000078,3000,30,00,GBP
OR00002945,2023-10-04,OR,C000070,2000,20,01,GBP
OR00002946,2021-12-29,RE,C000059,1000,30,02,GBP
OR00002947,2023-03-22,OR,C000068,3000,30,00,EUR
OR00002948,2023-03-18,OR,C000044,2000,10,02,GBP
OR00002949,2022-11-19,RE,C000066,3000,30,00,GBP
OR00002950,2024-05-05,ZOR,C000043,3000,10,00,GBP
OR00002951,2023-12-13,OR,C000054,3000,30,02,USD
OR00002952,2023-08-10,ZOR,C000057,3000,30,02,EUR
OR00002953,2023-08-25,RE,C000021,2000,10,00,GBP
OR00002954,2023-02-08,OR,C000066,2000,10,00,EUR
OR00002955,2024-04-15,OR,C000005,1000,20,01,USD
OR00002956,2023-08-08,ZOR,C000033,2000,20,01,EUR
OR00002957,2023-09-07,OR,C000026,1000,30,01,GBP
OR00002958,2024-01-22,OR,C000053,2000,20,01,USD
OR00002959,2022-08-16,OR,C000028,3000,10,02,EUR
OR00002960,2023-11-21,OR,C000052,1000,10,01,USD
OR00002961,2022-05-15,OR,C000055,3000,20,01,GBP
OR00002962,2022-10-27,RE,C000047,1000,20,00,USD
OR00002963,2022-10-18,OR,C000015,3000,20,02,GBP
OR00002964,2024-08-17,ZOR,C000001,1000,10,02,USD
OR00002965,2024-01-16,RE,C000002,1000,10,01,USD
OR00002966,2023-08-14,OR,C000046,3000,30,01,GBP
OR00002967,2023-09-05,OR,C000074,2000,20,02,EUR
OR00002968,2023-04-28,RE,C000010,1000,20,01,EUR
OR00002969,2024-06-01,OR,C000057,3000,10,00,USD
OR00002970,2023-03-08,ZOR,C000033,2000,10,02,EUR
OR00002971,2022-11-29,RE,C000005,2000,10,01,USD
OR00002972,2022-04-02,RE,C000016,2000,20,00,GBP
OR00002973,2023-10-31,RE,C000039,2000,20,00,EUR
OR00002974,2023-09-12,OR,C000007,3000,10,00,GBP
OR00002975,2022-12-03,OR,C000063,3000,30,00,USD
OR00002976,2021-06-29,ZOR,C000028,1000,10,00,USD
OR00002977,2023-12-26,OR,C000070,2000,20,00,GBP
OR00002978,2021-05-01,ZOR,C000038,1000,10,01,USD
OR00002979,2023-08-16,RE,C000065,3000,10,01,USD
OR00002980,2024-07-24,RE,C000073,3000,30,01,EUR
OR00002981,2023-01-19,ZOR,C000007,1000,30,00,GBP
OR00002982,2022-07-03,OR,C000045,1000,30,01,USD
OR00002983,2023-08-17,OR,C000054,3000,30,01,GBP
OR00002984,2023-12-02,RE,C000067,2000,30,01,GBP
OR00002985,2023-04-16,OR,C000016,1000,20,02,EUR
OR00002986,2024-07-16,ZOR,C000024,1000,10,01,EUR
OR00002987,2021-09-15,OR,C000045,2000,30,02,USD
OR00002988,2023-03-15,OR,C000007,3000,10,00,USD
OR00002989,2023-08-29,ZOR,C000007,1000,20,02,GBP
OR00002990,2024-01-23,OR,C000058,3000,10,01,GBP
OR00002991,2022-04-24,ZOR,C000050,3000,10,01,EUR
OR00002992,2023-11-14,RE,C000001,3000,30,02,EUR
OR00002993,2023-04-21,OR,C000060,1000,30,00,EUR
OR00002994,2022-12-14,ZOR,C000065,1000,20,01,EUR
OR00002995,2022-02-15,OR,C000077,2000,30,02,USD
OR00002996,2024-01-27,RE,C000043,2000,20,02,EUR
OR00002997,2022-03-25,ZOR,C000059,3000,20,01,EUR
OR00002998,2022-09-22,ZOR,C000002,3000,10,00,USD
OR00002999,2022-09-02,ZOR,C000016,1000,10,02,GBP
OR00003000,2024-02-03,ZOR,C000027,1000,10,01,GBP
OR00003001,2023-07-21,OR,C000042,2000,30,01,EUR
OR00003002,2023-11-10,RE,C000054,3000,20,01,USD
OR00003003,2022-07-20,ZOR,C000031,3000,10,00,EUR
OR00003004,2023-06-14,OR,C000007,1000,10,01,GBP
OR00003005,2023-05-06,ZOR,C000043,2000,30,00,USD
OR00003006,2023-12-19,RE,C000035,2000,20,01,GBP
OR00003007,2024-03-23,ZOR,C000044,3000,30,00,USD
OR00003008,2021-05-05,OR,C000030,2000,20,01,USD
OR00003009,2023-07-22,OR,C000009,3000,10,01,USD
OR00003010,2021-09-15,RE,C000012,1000,10,00,USD
OR00003011,2023-04-18,OR,C000051,2000,10,02,USD
OR00003012,2022-08-30,OR,C000059,3000,10,02,GBP
OR00003013,2022-09-19,RE,C000068,1000,20,01,GBP
OR00003014,2022-11-03,OR,C000075,2000,10,02,GBP
OR00003015,2023-06-11,RE,C000069,2000,30,01,GBP
OR00003016,2022-10-16,OR,C000009,3000,10,01,USD
OR00003017,2023-09-10,ZOR,C000047,3000,30,00,USD
OR00003018,2022-12-21,OR,C000062,3000,10,02,USD
OR00003019,2021-10-23,OR,C000002,3000,30,01,GBP
OR00003020,2023-10-28,ZOR,C000021,3000,20,00,GBP
OR00003021,2022-08-28,RE,C000034,1000,10,02,EUR
OR00003022,2023-01-14,OR,C000046,1000,30,02,GBP
OR00003023,2023-08-01,ZOR,C000009,2000,30,01,USD
OR00003024,2022-10-15,RE,C000024,3000,20,02,USD
OR00003025,2021-09-27,OR,C000007,2000,10,01,GBP
OR00003026,2022-11-23,OR,C000039,1000,30,00,EUR
OR00003027,2024-05-27,OR,C000048,1000,10,01,GBP
OR00003028,2023-06-27,ZOR,C000072,3000,30,00,GBP
OR00003029,2023-07-20,RE,C000052,1000,30,01,EUR
OR00003030,2023-06-20,ZOR,C000057,3000,10,01,EUR
OR00003031,2022-05-20,RE,C000057,1000,30,01,EUR
OR00003032,2023-01-02,RE,C000077,2000,20,00,EUR
OR00003033,2023-09-27,OR,C000018,3000,10,01,GBP
OR00003034,2021-12-27,ZOR,C000040,3000,10,00,USD
OR00003035,2022-08-20,OR,C000059,2000,20,00,EUR
OR00003036,2022-08-18,RE,C000067,2000,10,01,USD
OR00003037,2023-01-14,RE,C000016,3000,10,01,USD
OR00003038,2024-08-23,ZOR,C000059,2000,30,02,USD
OR00003039,2021-10-21,RE,C000034,1000,30,00,GBP
OR00003040,2023-03-26,ZOR,C000041,2000,20,02,GBP
OR00003041,2022-04-24,OR,C000067,3000,20,02,USD
OR00003042,2024-07-25,RE,C000026,2000,20,02,GBP
OR00003043,2022-01-16,OR,C000058,2000,30,00,GBP
OR00003044,2022-12-20,RE,C000056,1000,10,02,GBP
OR00003045,2023-09-15,ZOR,C000035,3000,20,00,USD
OR00003046,2023-08-17,OR,C000069,3000,10,00,USD
OR00003047,2023-01-06,OR,C000028,1000,30,02,EUR
OR00003048,2022-10-28,RE,C000034,2000,20,01,EUR
OR00003049,2022-12-15,RE,C000044,2000,10,00,USD
OR00003050,2022-08-05,ZOR,C000056,2000,30,01,GBP
OR00003051,2022-05-28,OR,C000059,3000,10,01,GBP
OR00003052,2023-02-25,RE,C000020,1000,30,02,EUR
OR00003053,2022-08-10,OR,C000020,2000,30,02,USD
OR00003054,2022-08-30,ZOR,C000059,2000,10,01,USD
OR00003055,2023-07-09,RE,C000078,3000,10,02,EUR
OR00003056,2024-07-20,OR,C000031,2000,30,00,USD
OR00003057,2023-05-29,RE,C000016,2000,30,00,USD
OR00003058,2021-11-10,OR,C000057,1000,30,02,EUR
OR00003059,2021-11-07,ZOR,C000079,3000,20,02,GBP
OR00003060,2024-06-10,OR,C000054,2000,20,01,GBP
OR00003061,2022-09-09,ZOR,C000016,1000,10,00,EUR
OR00003062,2021-12-10,OR,C000023,1000,10,02,GBP
OR00003063,2023-05-26,OR,C000030,2000,20,01,EUR
OR00003064,2023-06-13,ZOR,C000069,3000,30,02,EUR
OR00003065,2023-07-02,ZOR,C000003,3000,20,02,USD
OR00003066,2022-08-08,RE,C000010,2000,30,02,USD
OR00003067,2021-05-20,ZOR,C000034,2000,30,02,EUR
OR00003068,2024-07-11,ZOR,C000072,3000,30,02,EUR
OR00003069,2022-07-21,OR,C000041,1000,30,01,GBP
OR00003070,2023-07-24,OR,C000078,2000,20,00,GBP
OR00003071,2023-08-18,OR,C000034,1000,30,00,GBP
OR00003072,2023-06-03,OR,C000066,1000,10,01,USD
OR00003073,2022-09-25,RE,C000064,1000,30,01,EUR
OR00003074,2022-08-12,ZOR,C000080,1000,30,01,USD
OR00003075,2023-05-25,RE,C000071,3000,30,01,USD
OR00003076,2024-01-28,ZOR,C000021,1000,20,01,EUR
OR00003077,2024-05-31,RE,C000067,1000,20,01,USD
OR00003078,2022-01-04,OR,C000036,1000,20,00,EUR
OR00003079,2022-03-21,OR,C000035,1000,30,00,EUR
OR00003080,2024-05-27,RE,C000061,2000,10,01,GBP
OR00003081,2023-09-14,OR,C000055,3000,30,01,EUR
OR00003082,2024-02-19,OR,C000069,2000,30,01,GBP
OR00003083,2022-05-25,RE,C000037,2000,10,00,USD
OR00003084,2023-05-17,OR,C000037,2000,30,01,EUR
OR00003085,2023-08-14,OR,C000061,1000,30,01,EUR
OR00003086,2023-07-27,RE,C000004,2000,20,01,USD
OR00003087,2022-12-24,RE,C000006,2000,30,01,GBP
OR00003088,2021-05-21,ZOR,C000030,3000,10,02,USD
OR00003089,2023-05-14,RE,C000079,1000,10,02,USD
OR00003090,2022-07-23,RE,C000027,2000,20,01,USD
OR00003091,2023-01-29,OR,C000021,1000,10,00,GBP
OR00003092,2024-06-23,RE,C000062,2000,20,02,EUR
OR00003093,2022-12-16,OR,C000028,1000,30,00,EUR
OR00003094,2023-12-27,OR,C000040,3000,10,01,GBP
OR00003095,2022-05-07,OR,C000063,3000,10,02,USD
OR00003096,2023-07-21,ZOR,C000021,3000,30,01,USD
OR00003097,2024-08-12,OR,C000074,1000,10,02,EUR
OR00003098,2021-12-27,OR,C000001,3000,10,02,GBP
OR00003099,2021-04-14,ZOR,C000008,3000,20,01,EUR
OR00003100,2023-01-15,OR,C000035,2000,10,00,EUR
OR00003101,2021-12-11,RE,C000072,3000,20,00,EUR
OR00003102,2023-09-24,OR,C000047,3000,10,01,GBP
OR00003103,2024-04-05,OR,C000030,2000,20,01,EUR
OR00003104,2023-01-16,OR,C000028,2000,10,02,GBP
OR00003105,2022-07-30,ZOR,C000006,3000,10,00,GBP
OR00003106,2023-01-16,RE,C000040,1000,20,01,EUR
OR00003107,2023-09-02,ZOR,C000053,3000,20,00,USD
OR00003108,2021-04-18,ZOR,C000078,1000,30,01,USD
OR00003109,2023-05-19,OR,C000080,1000,20,00,EUR
OR00003110,2023-06-05,RE,C000027,2000,10,02,EUR
OR00003111,2023-06-24,RE,C000029,1000,30,01,GBP
OR00003112,2022-07-11,OR,C000059,2000,20,00,USD
OR00003113,2023-08-25,OR,C000009,3000,30,01,USD
OR00003114,2021-12-08,OR,C000054,2000,20,00,EUR
OR00003115,2022-05-20,OR,C000017,2000,30,00,USD
OR00003116,2024-02-11,OR,C000011,1000,30,00,GBP
OR00003117,2023-09-16,ZOR,C000041,2000,30,00,USD
OR00003118,2021-05-13,RE,C000001,2000,10,01,USD
OR00003119,2022-07-18,ZOR,C000017,1000,20,02,GBP
OR00003120,2022-06-08,RE,C000079,3000,10,01,USD
OR00003121,2022-08-12,ZOR,C000067,3000,20,00,USD
OR00003122,2022-07-17,OR,C000056,2000,10,01,GBP
OR00003123,2021-10-10,RE,C000009,1000,10,01,USD
OR00003124,2023-02-06,RE,C000044,2000,30,01,USD
OR00003125,2023-09-10,ZOR,C000058,3000,20,02,GBP
OR00003126,2023-05-31,OR,C000029,2000,30,01,GBP
OR00003127,2023-07-21,ZOR,C000029,3000,10,02,EUR
OR00003128,2021-11-19,ZOR,C000044,3000,30,01,GBP
OR00003129,2024-06-10,RE,C000015,3000,20,01,EUR
OR00003130,2023-12-25,ZOR,C000014,2000,10,00,EUR
OR00003131,2023-11-19,ZOR,C000059,3000,20,02,GBP
OR00003132,2023-12-08,RE,C000055,2000,20,01,EUR
OR00003133,2024-05-05,ZOR,C000077,2000,10,01,USD
OR00003134,2023-04-15,ZOR,C000043,3000,30,00,USD
OR00003135,2022-05-22,OR,C000056,2000,30,02,GBP
OR00003136,2023-06-08,RE,C000048,1000,20,02,GBP
OR00003137,2023-09-19,RE,C000011,3000,30,01,EUR
OR00003138,2023-09-15,ZOR,C000071,3000,20,02,USD
OR00003139,2023-03-28,ZOR,C000016,2000,10,01,USD
OR00003140,2021-10-23,ZOR,C000031,3000,20,00,USD
OR00003141,2022-11-20,OR,C000033,1000,10,02,GBP
OR00003142,2024-04-15,RE,C000035,3000,20,02,EUR
OR00003143,2023-05-15,RE,C000035,3000,30,00,USD
OR00003144,2023-04-10,ZOR,C000037,1000,20,02,GBP
OR00003145,2022-08-10,OR,C000049,1000,30,02,EUR
OR00003146,2022-11-18,ZOR,C000080,2000,30,01,EUR
OR00003147,2024-03-07,RE,C000059,3000,20,00,GBP
OR00003148,2023-07-16,RE,C000079,1000,10,01,GBP
OR00003149,2023-11-01,RE,C000015,2000,30,01,USD
OR00003150,2023-02-02,RE,C000042,1000,20,01,EUR
OR00003151,2023-06-18,ZOR,C000042,2000,20,00,GBP
OR00003152,2022-07-18,RE,C000004,3000,20,02,GBP
OR00003153,2023-08-17,RE,C000064,3000,20,02,USD
OR00003154,2023-01-10,OR,C000080,1000,10,00,EUR
OR00003155,2023-01-23,OR,C000071,3000,20,02,EUR
OR00003156,2023-07-03,ZOR,C000053,3000,20,02,USD
OR00003157,2024-05-11,RE,C000031,2000,30,00,GBP
OR00003158,2021-10-14,OR,C000020,1000,10,00,GBP
OR00003159,2023-12-10,RE,C000039,1000,10,00,GBP
OR00003160,2022-09-04,ZOR,C000064,3000,20,01,GBP
OR00003161,2023-01-24,OR,C000031,1000,30,02,USD
OR00003162,2021-06-17,RE,C000060,3000,30,01,USD
OR00003163,2022-09-13,RE,C000004,1000,20,02,GBP
OR00003164,2023-03-13,RE,C000041,3000,10,00,EUR
OR00003165,2021-09-26,RE,C000027,2000,30,02,EUR
OR00003166,2023-03-04,OR,C000010,2000,30,01,USD
OR00003167,2024-04-25,OR,C000026,2000,10,01,EUR
OR00003168,2022-01-03,ZOR,C000022,1000,20,00,EUR
OR00003169,2023-10-09,RE,C000075,3000,30,02,GBP
OR00003170,2022-12-25,OR,C000008,1000,10,02,GBP
OR00003171,2023-07-07,ZOR,C000077,3000,10,02,GBP
OR00003172,2022-07-31,OR,C000021,3000,30,00,EUR
OR00003173,2022-03-28,ZOR,C000036,1000,30,00,GBP
OR00003174,2022-03-30,RE,C000010,1000,10,02,USD
OR00003175,2021-10-28,ZOR,C000031,2000,10,00,EUR
OR00003176,2022-05-03,OR,C000043,3000,10,01,USD
OR00003177,2023-07-14,RE,C000002,2000,20,02,EUR
OR00003178,2024-02-17,ZOR,C000069,1000,20,02,USD
OR00003179,2023-11-28,OR,C000045,2000,30,02,EUR
OR00003180,2023-07-31,OR,C000002,2000,30,01,GBP
OR00003181,2022-01-11,ZOR,C000050,2000,20,00,USD
OR00003182,2022-09-01,OR,C000069,1000,20,00,EUR
OR00003183,2022-09-22,OR,C000051,2000,30,00,GBP
OR00003184,2022-07-20,OR,C000067,3000,30,02,EUR
OR00003185,2023-03-23,ZOR,C000031,3000,20,00,USD
OR00003186,2023-04-08,OR,C000012,3000,30,02,GBP
OR00003187,2022-11-07,RE,C000012,1000,30,00,USD
OR00003188,2022-11-04,RE,C000042,2000,10,01,GBP
OR00003189,2023-12-14,RE,C000059,1000,30,01,EUR
OR00003190,2023-11-03,OR,C000014,3000,10,01,EUR
OR00003191,2022-09-20,OR,C000054,2000,10,01,USD
OR00003192,2024-04-03,RE,C000033,2000,10,00,USD
OR00003193,2024-06-13,ZOR,C000037,3000,20,02,USD
OR00003194,2022-10-09,RE,C000036,1000,20,00,GBP
OR00003195,2022-11-05,OR,C000053,1000,10,01,USD
OR00003196,2023-03-16,RE,C000016,2000,20,02,EUR
OR00003197,2024-05-20,OR,C000036,1000,20,02,EUR
OR00003198,2024-02-10,RE,C000028,1000,20,02,EUR
OR00003199,2021-12-29,RE,C000019,3000,30,01,EUR
OR00003200,2022-12-10,OR,C000067,1000,30,01,EUR
OR00003201,2023-04-22,RE,C000073,2000,10,02,EUR
OR00003202,2023-03-14,OR,C000065,1000,10,01,EUR
OR00003203,2022-05-13,OR,C000016,2000,20,02,USD
OR00003204,2024-01-19,ZOR,C000072,2000,10,01,EUR
OR00003205,2023-07-25,RE,C000052,3000,20,01,EUR
OR00003206,2023-12-25,OR,C000060,3000,10,01,EUR
OR00003207,2024-01-18,ZOR,C000004,3000,20,01,EUR
OR00003208,2023-09-24,OR,C000044,3000,30,00,USD
OR00003209,2023-01-20,OR,C000074,1000,10,02,EUR
OR00003210,2023-06-03,RE,C000004,1000,20,00,GBP
OR00003211,2022-03-29,OR,C000077,2000,30,02,GBP
OR00003212,2023-07-22,ZOR,C000010,2000,30,00,EUR
OR00003213,2022-04-24,RE,C000050,2000,30,01,GBP
OR00003214,2023-08-08,OR,C000062,2000,10,02,GBP
OR00003215,2022-06-26,ZOR,C000033,3000,10,00,GBP
OR00003216,2022-01-23,ZOR,C000079,1000,10,00,EUR
OR00003217,2022-04-05,ZOR,C000074,2000,30,02,EUR
OR00003218,2021-02-20,ZOR,C000005,2000,30,01,USD
OR00003219,2023-08-29,RE,C000017,1000,10,02,USD
OR00003220,2023-09-10,OR,C000003,3000,20,00,USD
OR00003221,2023-03-23,ZOR,C000006,3000,20,00,GBP
OR00003222,2022-03-31,OR,C000021,1000,30,02,EUR
OR00003223,2021-11-23,ZOR,C000014,1000,10,00,GBP
OR00003224,2021-06-06,RE,C000033,2000,20,02,EUR
OR00003225,2022-04-06,RE,C000066,3000,30,02,EUR
OR00003226,2024-02-29,ZOR,C000024,2000,20,00,USD
OR00003227,2022-07-10,ZOR,C000027,2000,20,00,EUR
OR00003228,2022-11-05,OR,C000076,1000,20,00,USD
OR00003229,2022-01-03,OR,C000036,1000,10,02,USD
OR00003230,2022-06-18,RE,C000002,2000,20,02,USD
OR00003231,2023-03-26,OR,C000064,2000,20,02,GBP
OR00003232,2023-06-01,OR,C000003,1000,20,02,EUR
OR00003233,2022-07-15,ZOR,C000045,2000,30,02,GBP
OR00003234,2021-09-29,RE,C000025,3000,30,02,USD
OR00003235,2022-12-09,ZOR,C000036,1000,30,02,GBP
OR00003236,2022-07-02,OR,C000058,1000,10,01,USD
OR00003237,2022-06-14,ZOR,C000052,2000,30,00,EUR
OR00003238,2024-06-29,RE,C000020,1000,10,01,EUR
OR00003239,2023-06-08,OR,C000014,3000,30,01,EUR
OR00003240,2023-04-24,RE,C000079,1000,20,01,EUR
OR00003241,2022-12-31,RE,C000014,3000,10,01,USD
OR00003242,2023-01-11,RE,C000075,1000,20,02,GBP
OR00003243,2023-04-12,RE,C000038,2000,20,00,USD
OR00003244,2023-08-10,OR,C000041,1000,20,01,USD
OR00003245,2023-08-15,OR,C000020,2000,10,01,USD
OR00003246,2022-04-14,ZOR,C000070,1000,30,02,EUR
OR00003247,2023-03-11,OR,C000072,3000,20,02,USD
OR00003248,2022-12-27,OR,C000052,3000,30,02,GBP
OR00003249,2024-02-02,OR,C000062,2000,20,02,GBP
OR00003250,2023-06-19,OR,C000037,2000,20,02,EUR
OR00003251,2023-04-06,RE,C000051,1000,10,01,EUR
OR00003252,2022-01-20,RE,C000013,3000,20,00,USD
OR00003253,2023-05-31,ZOR,C000061,3000,20,01,GBP
OR00003254,2022-01-23,OR,C000045,3000,10,01,GBP
OR00003255,2022-10-19,OR,C000078,3000,20,01,GBP
OR00003256,2022-03-04,ZOR,C000063,1000,20,01,USD
OR00003257,2023-08-06,OR,C000027,1000,30,01,GBP
OR00003258,2022-05-29,ZOR,C000021,1000,20,01,GBP
OR00003259,2022-12-09,RE,C000010,3000,10,02,GBP
OR00003260,2024-03-07,ZOR,C000007,2000,20,01,GBP
OR00003261,2022-05-27,RE,C000008,3000,10,00,EUR
OR00003262,2023-03-17,ZOR,C000054,3000,10,02,GBP
OR00003263,2023-01-03,OR,C000062,1000,10,01,EUR
OR00003264,2021-06-02,OR,C000022,3000,20,00,GBP
OR00003265,2023-11-06,ZOR,C000004,1000,30,02,EUR
OR00003266,2021-10-25,ZOR,C000040,1000,30,01,EUR
OR00003267,2023-02-18,ZOR,C000014,3000,30,00,GBP
OR00003268,2023-04-27,OR,C000024,3000,10,00,EUR
OR00003269,2023-06-17,ZOR,C000051,2000,10,00,EUR
OR00003270,2023-08-03,ZOR,C000032,1000,10,00,GBP
OR00003271,2022-07-24,RE,C000074,1000,10,00,GBP
OR00003272,2021-04-23,OR,C000008,3000,10,00,GBP
OR00003273,2023-09-02,OR,C000068,1000,20,00,GBP
OR00003274,2023-04-08,ZOR,C000062,3000,10,01,GBP
OR00003275,2023-12-23,OR,C000030,1000,30,01,GBP
OR00003276,2023-12-06,OR,C000024,1000,10,02,EUR
OR00003277,2023-12-31,OR,C000002,1000,10,02,USD
OR00003278,2023-02-27,ZOR,C000030,1000,10,00,GBP
OR00003279,2022-10-16,RE,C000002,3000,20,02,EUR
OR00003280,2023-11-05,OR,C000009,3000,20,02,GBP
OR00003281,2023-01-30,OR,C000043,3000,30,02,USD
OR00003282,2022-04-30,ZOR,C000036,1000,10,01,GBP
OR00003283,2024-01-14,OR,C000048,2000,20,02,USD
OR00003284,2024-02-18,RE,C000015,3000,20,01,EUR
OR00003285,2023-02-12,OR,C000037,1000,30,00,EUR
OR00003286,2021-11-08,RE,C000063,3000,10,02,EUR
OR00003287,2022-12-06,ZOR,C000077,1000,10,00,USD
OR00003288,2023-11-17,RE,C000040,2000,10,02,GBP
OR00003289,2024-03-16,ZOR,C000003,2000,20,02,EUR
OR00003290,2022-05-26,RE,C000010,3000,30,01,USD
OR00003291,2021-10-20,RE,C000022,1000,20,01,GBP
OR00003292,2024-02-11,RE,C000035,2000,30,01,GBP
OR00003293,2022-12-07,RE,C000006,2000,20,00,EUR
OR00003294,2023-04-13,ZOR,C000038,1000,10,00,GBP
OR00003295,2024-07-18,OR,C000016,3000,30,00,USD
OR00003296,2021-10-19,OR,C000046,2000,20,02,GBP
OR00003297,2023-07-02,OR,C000042,3000,20,01,EUR
OR00003298,2021-11-04,OR,C000052,2000,30,00,EUR
OR00003299,2022-11-24,RE,C000012,2000,10,00,EUR
OR00003300,2023-11-18,ZOR,C000050,2000,30,00,EUR
OR00003301,2023-01-15,ZOR,C000061,3000,20,00,EUR
OR00003302,2024-11-11,ZOR,C000059,1000,10,02,EUR
OR00003303,2023-04-26,ZOR,C000008,3000,30,01,EUR
OR00003304,2022-10-03,OR,C000042,3000,10,01,USD
OR00003305,2022-06-15,OR,C000022,1000,30,00,EUR
OR00003306,2022-11-01,RE,C000077,2000,20,01,GBP
OR00003307,2022-11-22,OR,C000027,2000,30,01,USD
OR00003308,2021-10-24,RE,C000001,2000,30,01,GBP
OR00003309,2022-11-19,ZOR,C000039,3000,30,00,GBP
OR00003310,2023-02-10,RE,C000045,2000,30,02,GBP
OR00003311,2023-09-01,ZOR,C000078,2000,30,00,EUR
OR00003312,2023-07-08,ZOR,C000004,2000,20,01,GBP
OR00003313,2023-08-20,OR,C000037,2000,20,00,EUR
OR00003314,2021-04-14,ZOR,C000048,2000,10,02,GBP
OR00003315,2022-06-12,OR,C000024,1000,30,02,USD
OR00003316,2023-07-12,OR,C000016,3000,20,01,USD
OR00003317,2023-02-26,RE,C000074,2000,10,02,EUR
OR00003318,2021-03-24,ZOR,C000007,1000,30,00,EUR
OR00003319,2023-11-18,ZOR,C000048,3000,20,00,USD
OR00003320,2023-10-17,OR,C000015,2000,30,02,EUR
OR00003321,2023-04-18,OR,C000047,2000,10,02,GBP
OR00003322,2021-10-19,ZOR,C000039,2000,10,01,EUR
OR00003323,2023-10-11,OR,C000065,3000,10,02,EUR
OR00003324,2023-05-15,OR,C000075,2000,10,01,USD
OR00003325,2023-10-26,ZOR,C000004,1000,10,00,USD
OR00003326,2023-09-27,RE,C000063,1000,10,02,GBP
OR00003327,2023-11-17,OR,C000020,3000,30,02,USD
OR00003328,2023-03-25,ZOR,C000076,3000,10,01,USD
OR00003329,2022-02-28,OR,C000073,1000,10,00,USD
OR00003330,2023-07-20,OR,C000066,1000,10,00,EUR
OR00003331,2023-06-11,RE,C000023,2000,30,02,EUR
OR00003332,2023-09-19,RE,C000025,1000,20,00,EUR
OR00003333,2022-04-12,OR,C000016,3000,10,00,USD
OR00003334,2022-05-15,ZOR,C000010,1000,10,01,USD
OR00003335,2024-02-29,RE,C000038,3000,10,01,EUR
OR00003336,2023-09-26,OR,C000078,1000,20,02,EUR
OR00003337,2024-03-26,RE,C000076,2000,20,02,GBP
OR00003338,2023-10-04,RE,C000067,3000,10,01,EUR
OR00003339,2023-05-24,RE,C000016,1000,10,00,GBP
OR00003340,2023-07-06,RE,C000012,3000,30,00,USD
OR00003341,2024-02-27,OR,C000004,1000,10,02,EUR
OR00003342,2023-05-11,ZOR,C000079,1000,10,00,EUR
OR00003343,2023-06-20,OR,C000060,2000,10,02,EUR
OR00003344,2022-03-24,ZOR,C000073,1000,10,02,EUR
OR00003345,2023-02-18,OR,C000028,2000,20,02,USD
OR00003346,2023-08-27,RE,C000080,1000,20,00,EUR
OR00003347,2022-08-12,RE,C000022,3000,30,00,USD
OR00003348,2022-05-24,ZOR,C000003,2000,30,01,USD
OR00003349,2022-09-26,OR,C000019,3000,30,00,USD
OR00003350,2022-07-10,ZOR,C000059,3000,30,02,USD
OR00003351,2022-06-09,RE,C000064,3000,30,02,EUR
OR00003352,2023-01-08,ZOR,C000033,1000,20,01,EUR
OR00003353,2024-03-25,RE,C000035,1000,10,02,EUR
OR00003354,2023-03-17,ZOR,C000079,3000,10,00,EUR
OR00003355,2022-05-06,RE,C000039,2000,20,02,GBP
OR00003356,2021-11-10,ZOR,C000056,2000,20,00,USD
