VBELN,POSNR,MATNR,MATKL,WERKS,KWMENG,NETPR,NETWR,ERDAT,LGORT
OR00003027,000010,MAT000023,CHEM,P003,38,462.74,17584.12,2024-05-27,L003
OR00003027,000020,MAT000021,ELEC,P003,76,483.66,36758.16,2024-05-27,L002
OR00003027,000030,MAT000001,PACK,P003,178,233.98,41648.44,2024-05-27,L002
OR00003028,000010,MAT000035,MECH,P005,152,206.12,31330.24,2023-06-27,L004
OR00003028,000020,MAT000036,CHEM,P005,100,12.2,1220.0,2023-06-27,L001
OR00003029,000010,MAT000013,CONS,P003,35,374.67,13113.45,2023-07-20,L004
OR00003029,000020,MAT000003,MECH,P003,23,434.73,9998.79,2023-07-20,L001
OR00003029,000030,MAT000021,ELEC,P003,94,466.73,43872.62,2023-07-20,L002
OR00003030,000010,MAT000002,CONS,P001,146,320.46,46787.16,2023-06-20,L003
OR00003030,000020,MAT000003,MECH,P001,9,312.17,2809.53,2023-06-20,L001
OR00003031,000010,MAT000004,PACK,P005,68,294.92,20054.56,2022-05-20,L003
OR00003032,000010,MAT000034,CONS,P001,29,252.22,7314.38,2023-01-02,L001
OR00003032,000020,MAT000019,CHEM,P001,53,258.56,13703.68,2023-01-02,L004
OR00003032,000030,MAT000003,MECH,P001,140,380.9,53326.0,2023-01-02,L001
OR00003032,000040,MAT000020,ELEC,P001,89,203.29,18092.81,2023-01-02,L002
OR00003033,000010,MAT000005,ELEC,P005,104,144.57,15035.28,2023-09-27,L001
OR00003034,000010,MAT000031,MECH,P004,93,160.65,14940.45,2021-12-27,L002
OR00003034,000020,MAT000039,CHEM,P004,325,253.14,82270.5,2021-12-27,L002
OR00003034,000030,MAT000007,MECH,P004,193,499.95,96490.35,2021-12-27,L004
OR00003035,000010,MAT000027,PACK,P003,134,212.48,28472.32,2022-08-20,L004
OR00003035,000020,MAT000025,CONS,P003,24,122.09,2930.16,2022-08-20,L001
OR00003035,000030,MAT000029,CHEM,P003,200,61.2,12240.0,2022-08-20,L004
OR00003036,000010,MAT000008,PACK,P003,77,86.15,6633.55,2022-08-18,L004
OR00003036,000020,MAT000028,PACK,P003,147,367.39,54006.33,2022-08-18,L002
OR00003036,000030,MAT000034,CONS,P003,41,9.98,409.18,2022-08-18,L001
OR00003036,000040,MAT000032,PACK,P003,6,462.34,2774.04,2022-08-18,L002
OR00003037,000010,MAT000006,MECH,P003,25,27.5,687.5,2023-01-14,L001
OR00003038,000010,MAT000031,MECH,P003,29,435.56,12631.24,2024-08-23,L003
OR00003038,000020,MAT000037,CHEM,P003,29,252.82,7331.78,2024-08-23,L002
OR00003038,000030,MAT000028,PACK,P003,157,132.49,20800.93,2024-08-23,L002
OR00003039,000010,MAT000003,MECH,P004,196,184.7,36201.2,2021-10-21,L003
OR00003039,000020,MAT000038,PACK,P004,230,348.49,80152.7,2021-10-21,L002
OR00003039,000030,MAT000012,CONS,P004,108,340.04,36724.32,2021-10-21,L004
OR00003039,000040,MAT000030,CONS,P004,26,196.15,5099.9,2021-10-21,L001
OR00003040,000010,MAT000001,PACK,P003,214,288.0,61632.0,2023-03-26,L002
OR00003040,000020,MAT000031,MECH,P003,37,388.03,14357.11,2023-03-26,L001
OR00003041,000010,MAT000020,ELEC,P004,80,222.54,17803.2,2022-04-24,L003
OR00003041,000020,MAT000018,CHEM,P004,12,286.94,3443.28,2022-04-24,L001
OR00003042,000010,MAT000009,ELEC,P005,98,5.95,583.1,2024-07-25,L002
OR00003043,000010,MAT000036,CHEM,P005,30,340.87,10226.1,2022-01-16,L003
OR00003043,000020,MAT000018,CHEM,P005,122,135.67,16551.74,2022-01-16,L004
OR00003043,000030,MAT000040,CHEM,P005,69,121.05,8352.45,2022-01-16,L004
OR00003043,000040,MAT000019,CHEM,P005,169,203.39,34372.91,2022-01-16,L001
OR00003044,000010,MAT000001,PACK,P001,6,90.28,541.68,2022-12-20,L004
OR00003044,000020,MAT000002,CONS,P001,155,320.74,49714.7,2022-12-20,L002
OR00003045,000010,MAT000010,PACK,P004,37,259.44,9599.28,2023-09-15,L001
OR00003045,000020,MAT000012,CONS,P004,108,106.38,11489.04,2023-09-15,L003
OR00003046,000010,MAT000010,PACK,P002,32,449.81,14393.92,2023-08-17,L004
OR00003046,000020,MAT000015,ELEC,P002,15,280.32,4204.8,2023-08-17,L001
OR00003046,000030,MAT000020,ELEC,P002,72,294.13,21177.36,2023-08-17,L003
OR00003046,000040,MAT000017,PACK,P002,163,87.54,14269.02,2023-08-17,L002
OR00003047,000010,MAT000026,CHEM,P002,142,27.47,3900.74,2023-01-06,L001
OR00003047,000020,MAT000008,PACK,P002,197,102.42,20176.74,2023-01-06,L001
OR00003047,000030,MAT000039,CHEM,P002,65,225.82,14678.3,2023-01-06,L003
OR00003047,000040,MAT000038,PACK,P002,216,428.44,92543.04,2023-01-06,L001
OR00003048,000010,MAT000010,PACK,P003,12,437.28,5247.36,2022-10-28,L004
OR00003048,000020,MAT000031,MECH,P003,105,86.82,9116.1,2022-10-28,L002
OR00003049,000010,MAT000017,PACK,P005,167,489.26,81706.42,2022-12-15,L003
OR00003049,000020,MAT000033,CHEM,P005,68,29.94,2035.92,2022-12-15,L001
OR00003049,000030,MAT000024,ELEC,P005,153,416.21,63680.13,2022-12-15,L002
OR00003049,000040,MAT000004,PACK,P005,1,230.04,230.04,2022-12-15,L002
OR00003050,000010,MAT000032,PACK,P004,53,169.54,8985.62,2022-08-05,L002
OR00003050,000020,MAT000006,MECH,P004,114,384.1,43787.4,2022-08-05,L001
OR00003050,000030,MAT000021,ELEC,P004,43,363.07,15612.01,2022-08-05,L003
OR00003050,000040,MAT000030,CONS,P004,142,221.23,31414.66,2022-08-05,L003
OR00003051,000010,MAT000010,PACK,P004,204,26.74,5454.96,2022-05-28,L004
OR00003052,000010,MAT000011,CHEM,P003,144,230.0,33120.0,2023-02-25,L004
OR00003052,000020,MAT000017,PACK,P003,34,359.73,12230.82,2023-02-25,L004
OR00003053,000010,MAT000008,PACK,P001,106,168.4,17850.4,2022-08-10,L004
OR00003054,000010,MAT000027,PACK,P004,127,433.92,55107.84,2022-08-30,L003
OR00003055,000010,MAT000026,CHEM,P005,98,262.09,25684.82,2023-07-09,L001
OR00003056,000010,MAT000001,PACK,P001,95,154.81,14706.95,2024-07-20,L004
OR00003057,000010,MAT000004,PACK,P003,154,468.31,72119.74,2023-05-29,L002
OR00003057,000020,MAT000015,ELEC,P003,182,106.87,19450.34,2023-05-29,L002
OR00003058,000010,MAT000018,CHEM,P002,230,315.34,72528.2,2021-11-10,L001
OR00003059,000010,MAT000015,ELEC,P005,56,243.08,13612.48,2021-11-07,L001
OR00003059,000020,MAT000009,ELEC,P005,232,454.06,105341.92,2021-11-07,L002
OR00003059,000030,MAT000012,CONS,P005,268,422.73,113291.64,2021-11-07,L004
OR00003059,000040,MAT000038,PACK,P005,86,51.6,4437.6,2021-11-07,L001
OR00003060,000010,MAT000013,CONS,P002,14,291.51,4081.14,2024-06-10,L003
OR00003060,000020,MAT000003,MECH,P002,100,24.34,2434.0,2024-06-10,L004
OR00003060,000030,MAT000015,ELEC,P002,140,271.21,37969.4,2024-06-10,L004
OR00003060,000040,MAT000035,MECH,P002,44,140.67,6189.48,2024-06-10,L001
OR00003061,000010,MAT000011,CHEM,P005,77,232.39,17894.03,2022-09-09,L001
OR00003061,000020,MAT000029,CHEM,P005,158,254.53,40215.74,2022-09-09,L001
OR00003061,000030,MAT000012,CONS,P005,134,172.04,23053.36,2022-09-09,L003
OR00003062,000010,MAT000012,CONS,P002,45,422.08,18993.6,2021-12-10,L002
OR00003062,000020,MAT000032,PACK,P002,194,366.2,71042.8,2021-12-10,L002
OR00003062,000030,MAT000024,ELEC,P002,71,64.68,4592.28,2021-12-10,L003
OR00003062,000040,MAT000011,CHEM,P002,73,365.48,26680.04,2021-12-10,L004
OR00003063,000010,MAT000009,ELEC,P005,172,351.7,60492.4,2023-05-26,L004
OR00003063,000020,MAT000030,CONS,P005,6,352.72,2116.32,2023-05-26,L003
OR00003063,000030,MAT000029,CHEM,P005,117,169.02,19775.34,2023-05-26,L004
OR00003063,000040,MAT000008,PACK,P005,85,377.16,32058.6,2023-05-26,L004
OR00003064,000010,MAT000007,MECH,P002,32,284.63,9108.16,2023-06-13,L004
OR00003064,000020,MAT000028,PACK,P002,101,197.85,19982.85,2023-06-13,L001
OR00003064,000030,MAT000019,CHEM,P002,56,414.35,23203.6,2023-06-13,L001
OR00003064,000040,MAT000026,CHEM,P002,122,47.27,5766.94,2023-06-13,L001
OR00003065,000010,MAT000034,CONS,P001,33,105.66,3486.78,2023-07-02,L003
OR00003066,000010,MAT000012,CONS,P005,16,48.79,780.64,2022-08-08,L002
OR00003066,000020,MAT000021,ELEC,P005,62,79.29,4915.98,2022-08-08,L004
OR00003067,000010,MAT000019,CHEM,P003,114,249.67,28462.38,2021-05-20,L002
OR00003067,000020,MAT000031,MECH,P003,68,221.8,15082.4,2021-05-20,L004
OR00003067,000030,MAT000011,CHEM,P003,19,16.75,318.25,2021-05-20,L004
OR00003068,000010,MAT000001,PACK,P004,20,217.39,4347.8,2024-07-11,L002
OR00003068,000020,MAT000025,CONS,P004,36,47.27,1701.72,2024-07-11,L002
OR00003069,000010,MAT000037,CHEM,P005,34,42.97,1460.98,2022-07-21,L001
OR00003069,000020,MAT000002,CONS,P005,36,112.54,4051.44,2022-07-21,L001
OR00003069,000030,MAT000039,CHEM,P005,68,42.11,2863.48,2022-07-21,L002
OR00003069,000040,MAT000005,ELEC,P005,65,356.14,23149.1,2022-07-21,L001
OR00003070,000010,MAT000019,CHEM,P002,113,272.85,30832.05,2023-07-24,L003
OR00003070,000020,MAT000015,ELEC,P002,6,54.16,324.96,2023-07-24,L002
OR00003070,000030,MAT000032,PACK,P002,78,70.66,5511.48,2023-07-24,L001
OR00003071,000010,MAT000033,CHEM,P002,36,457.56,16472.16,2023-08-18,L004
OR00003071,000020,MAT000008,PACK,P002,163,456.29,74375.27,2023-08-18,L004
OR00003072,000010,MAT000004,PACK,P002,86,110.49,9502.14,2023-06-03,L004
OR00003072,000020,MAT000040,CHEM,P002,133,402.2,53492.6,2023-06-03,L001
OR00003072,000030,MAT000014,PACK,P002,64,55.35,3542.4,2023-06-03,L004
OR00003073,000010,MAT000040,CHEM,P005,32,362.26,11592.32,2022-09-25,L003
OR00003074,000010,MAT000003,MECH,P004,127,343.28,43596.56,2022-08-12,L002
OR00003074,000020,MAT000024,ELEC,P004,160,468.2,74912.0,2022-08-12,L001
OR00003074,000030,MAT000026,CHEM,P004,14,184.97,2589.58,2022-08-12,L002
OR00003075,000010,MAT000022,ELEC,P004,198,163.84,32440.32,2023-05-25,L002
OR00003075,000020,MAT000031,MECH,P004,42,128.01,5376.42,2023-05-25,L001
OR00003076,000010,MAT000021,ELEC,P002,140,290.4,40656.0,2024-01-28,L002
OR00003076,000020,MAT000001,PACK,P002,76,216.83,16479.08,2024-01-28,L004
OR00003076,000030,MAT000016,CONS,P002,34,190.71,6484.14,2024-01-28,L004
OR00003077,000010,MAT000013,CONS,P002,95,378.61,35967.95,2024-05-31,L003
OR00003077,000020,MAT000035,MECH,P002,4,291.28,1165.12,2024-05-31,L001
OR00003077,000030,MAT000001,PACK,P002,104,361.53,37599.12,2024-05-31,L002
OR00003077,000040,MAT000026,CHEM,P002,188,60.12,11302.56,2024-05-31,L004
OR00003078,000010,MAT000020,ELEC,P005,189,299.57,56618.73,2022-01-04,L003
OR00003078,000020,MAT000017,PACK,P005,91,334.32,30423.12,2022-01-04,L003
OR00003078,000030,MAT000002,CONS,P005,193,282.4,54503.2,2022-01-04,L001
OR00003079,000010,MAT000003,MECH,P005,106,45.59,4832.54,2022-03-21,L004
OR00003079,000020,MAT000009,ELEC,P005,182,469.58,85463.56,2022-03-21,L004
OR00003079,000030,MAT000038,PACK,P005,47,125.11,5880.17,2022-03-21,L001
OR00003079,000040,MAT000015,ELEC,P005,91,198.87,18097.17,2022-03-21,L001
OR00003080,000010,MAT000032,PACK,P001,100,44.79,4479.0,2024-05-27,L002
OR00003081,000010,MAT000013,CONS,P001,181,201.55,36480.55,2023-09-14,L002
OR00003081,000020,MAT000005,ELEC,P001,100,266.15,26615.0,2023-09-14,L004
OR00003081,000030,MAT000017,PACK,P001,111,255.29,28337.19,2023-09-14,L003
OR00003081,000040,MAT000029,CHEM,P001,57,297.27,16944.39,2023-09-14,L004
OR00003082,000010,MAT000040,CHEM,P005,96,56.92,5464.32,2024-02-19,L004
OR00003083,000010,MAT000029,CHEM,P003,80,448.21,35856.8,2022-05-25,L004
OR00003083,000020,MAT000033,CHEM,P003,5,262.85,1314.25,2022-05-25,L003
OR00003083,000030,MAT000021,ELEC,P003,176,362.21,63748.96,2022-05-25,L002
OR00003083,000040,MAT000019,CHEM,P003,81,189.76,15370.56,2022-05-25,L004
OR00003084,000010,MAT000005,ELEC,P002,210,215.76,45309.6,2023-05-17,L002
OR00003085,000010,MAT000025,CONS,P004,203,271.19,55051.57,2023-08-14,L001
OR00003085,000020,MAT000026,CHEM,P004,80,493.61,39488.8,2023-08-14,L002
OR00003086,000010,MAT000028,PACK,P001,153,142.41,21788.73,2023-07-27,L004
OR00003087,000010,MAT000011,CHEM,P004,163,348.79,56852.77,2022-12-24,L002
OR00003087,000020,MAT000016,CONS,P004,186,364.21,67743.06,2022-12-24,L002
OR00003088,000010,MAT000019,CHEM,P001,158,253.34,40027.72,2021-05-21,L002
OR00003088,000020,MAT000033,CHEM,P001,153,468.91,71743.23,2021-05-21,L004
OR00003088,000030,MAT000021,ELEC,P001,107,107.78,11532.46,2021-05-21,L004
OR00003089,000010,MAT000010,PACK,P004,161,5.06,814.66,2023-05-14,L001
OR00003090,000010,MAT000036,CHEM,P002,45,314.35,14145.75,2022-07-23,L001
OR00003090,000020,MAT000001,PACK,P002,90,76.1,6849.0,2022-07-23,L004
OR00003090,000030,MAT000033,CHEM,P002,132,209.92,27709.44,2022-07-23,L001
OR00003090,000040,MAT000026,CHEM,P002,32,306.41,9805.12,2022-07-23,L003
OR00003091,000010,MAT000024,ELEC,P003,49,230.97,11317.53,2023-01-29,L002
OR00003092,000010,MAT000025,CONS,P001,29,304.99,8844.71,2024-06-23,L002
OR00003093,000010,MAT000008,PACK,P005,155,459.35,71199.25,2022-12-16,L003
OR00003094,000010,MAT000017,PACK,P004,248,230.61,57191.28,2023-12-27,L002
OR00003094,000020,MAT000037,CHEM,P004,41,480.42,19697.22,2023-12-27,L002
OR00003094,000030,MAT000008,PACK,P004,47,427.62,20098.14,2023-12-27,L002
OR00003094,000040,MAT000032,PACK,P004,101,191.77,19368.77,2023-12-27,L001
OR00003095,000010,MAT000023,CHEM,P003,73,369.68,26986.64,2022-05-07,L004
OR00003095,000020,MAT000007,MECH,P003,146,282.06,41180.76,2022-05-07,L002
OR00003095,000030,MAT000020,ELEC,P003,170,338.61,57563.7,2022-05-07,L002
OR00003095,000040,MAT000025,CONS,P003,141,266.94,37638.54,2022-05-07,L001
OR00003096,000010,MAT000024,ELEC,P005,11,330.57,3636.27,2023-07-21,L001
OR00003096,000020,MAT000023,CHEM,P005,59,298.08,17586.72,2023-07-21,L003
OR00003096,000030,MAT000002,CONS,P005,23,443.11,10191.53,2023-07-21,L003
OR00003097,000010,MAT000018,CHEM,P003,14,481.73,6744.22,2024-08-12,L003
OR00003097,000020,MAT000037,CHEM,P003,62,332.96,20643.52,2024-08-12,L001
OR00003097,000030,MAT000032,PACK,P003,61,386.45,23573.45,2024-08-12,L001
OR00003098,000010,MAT000001,PACK,P002,281,15.98,4490.38,2021-12-27,L003
OR00003098,000020,MAT000029,CHEM,P002,39,478.32,18654.48,2021-12-27,L001
OR00003098,000030,MAT000005,ELEC,P002,2,206.59,413.18,2021-12-27,L004
OR00003098,000040,MAT000016,CONS,P002,215,76.41,16428.15,2021-12-27,L001
OR00003099,000010,MAT000023,CHEM,P005,177,353.74,62611.98,2021-04-14,L004
OR00003099,000020,MAT000022,ELEC,P005,32,310.58,9938.56,2021-04-14,L003
OR00003100,000010,MAT000032,PACK,P003,140,434.41,60817.4,2023-01-15,L004
OR00003100,000020,MAT000014,PACK,P003,199,21.31,4240.69,2023-01-15,L001
OR00003100,000030,MAT000039,CHEM,P003,88,260.59,22931.92,2023-01-15,L004
OR00003100,000040,MAT000010,PACK,P003,40,170.54,6821.6,2023-01-15,L002
OR00003101,000010,MAT000009,ELEC,P005,165,24.71,4077.15,2021-12-11,L002
OR00003101,000020,MAT000004,PACK,P005,201,474.83,95440.83,2021-12-11,L004
OR00003101,000030,MAT000020,ELEC,P005,46,128.09,5892.14,2021-12-11,L002
OR00003102,000010,MAT000014,PACK,P003,43,200.36,8615.48,2023-09-24,L002
OR00003102,000020,MAT000036,CHEM,P003,30,215.69,6470.7,2023-09-24,L002
OR00003102,000030,MAT000015,ELEC,P003,78,230.45,17975.1,2023-09-24,L002
OR00003103,000010,MAT000024,ELEC,P001,16,489.04,7824.64,2024-04-05,L003
OR00003103,000020,MAT000002,CONS,P001,22,349.09,7679.98,2024-04-05,L001
OR00003103,000030,MAT000016,CONS,P001,56,57.04,3194.24,2024-04-05,L001
OR00003103,000040,MAT000034,CONS,P001,33,14.71,485.43,2024-04-05,L003
OR00003104,000010,MAT000038,PACK,P002,174,124.5,21663.0,2023-01-16,L003
OR00003105,000010,MAT000026,CHEM,P005,71,263.1,18680.1,2022-07-30,L003
OR00003105,000020,MAT000033,CHEM,P005,25,96.61,2415.25,2022-07-30,L004
OR00003105,000030,MAT000019,CHEM,P005,81,179.08,14505.48,2022-07-30,L003
OR00003105,000040,MAT000034,CONS,P005,75,421.52,31614.0,2022-07-30,L003
OR00003106,000010,MAT000006,MECH,P002,137,402.84,55189.08,2023-01-16,L002
OR00003107,000010,MAT000006,MECH,P004,81,480.65,38932.65,2023-09-02,L003
OR00003107,000020,MAT000028,PACK,P004,39,397.05,15484.95,2023-09-02,L003
OR00003108,000010,MAT000015,ELEC,P005,158,441.19,69708.02,2021-04-18,L004
OR00003109,000010,MAT000034,CONS,P002,217,190.63,41366.71,2023-05-19,L002
OR00003109,000020,MAT000025,CONS,P002,21,172.28,3617.88,2023-05-19,L003
OR00003110,000010,MAT000030,CONS,P002,162,220.04,35646.48,2023-06-05,L003
OR00003110,000020,MAT000028,PACK,P002,84,441.83,37113.72,2023-06-05,L004
OR00003110,000030,MAT000014,PACK,P002,63,406.26,25594.38,2023-06-05,L004
OR00003110,000040,MAT000004,PACK,P002,124,38.58,4783.92,2023-06-05,L004
OR00003111,000010,MAT000034,CONS,P001,143,348.45,49828.35,2023-06-24,L003
OR00003111,000020,MAT000007,MECH,P001,140,472.49,66148.6,2023-06-24,L002
OR00003111,000030,MAT000018,CHEM,P001,79,207.85,16420.15,2023-06-24,L001
OR00003112,000010,MAT000023,CHEM,P003,8,153.01,1224.08,2022-07-11,L001
OR00003112,000020,MAT000024,ELEC,P003,108,398.64,43053.12,2022-07-11,L004
OR00003112,000030,MAT000007,MECH,P003,16,279.63,4474.08,2022-07-11,L001
OR00003113,000010,MAT000001,PACK,P004,115,62.85,7227.75,2023-08-25,L004
OR00003113,000020,MAT000006,MECH,P004,46,134.1,6168.6,2023-08-25,L001
OR00003113,000030,MAT000012,CONS,P004,81,321.31,26026.11,2023-08-25,L001
OR00003113,000040,MAT000027,PACK,P004,167,314.37,52499.79,2023-08-25,L004
OR00003114,000010,MAT000026,CHEM,P005,50,388.86,19443.0,2021-12-08,L003
OR00003114,000020,MAT000036,CHEM,P005,249,293.08,72976.92,2021-12-08,L001
OR00003115,000010,MAT000016,CONS,P002,98,74.34,7285.32,2022-05-20,L002
OR00003115,000020,MAT000009,ELEC,P002,69,404.42,27904.98,2022-05-20,L002
OR00003115,000030,MAT000022,ELEC,P002,77,284.03,21870.31,2022-05-20,L001
OR00003115,000040,MAT000029,CHEM,P002,80,129.38,10350.4,2022-05-20,L002
OR00003116,000010,MAT000026,CHEM,P004,19,196.21,3727.99,2024-02-11,L004
OR00003116,000020,MAT000014,PACK,P004,5,285.35,1426.75,2024-02-11,L004
OR00003116,000030,MAT000005,ELEC,P004,161,108.57,17479.77,2024-02-11,L001
OR00003117,000010,MAT000015,ELEC,P003,21,149.69,3143.49,2023-09-16,L004
OR00003118,000010,MAT000023,CHEM,P005,80,8.12,649.6,2021-05-13,L004
OR00003118,000020,MAT000002,CONS,P005,72,243.98,17566.56,2021-05-13,L004
OR00003119,000010,MAT000013,CONS,P005,15,169.85,2547.75,2022-07-18,L002
OR00003120,000010,MAT000029,CHEM,P003,148,128.85,19069.8,2022-06-08,L003
OR00003121,000010,MAT000011,CHEM,P003,183,192.54,35234.82,2022-08-12,L001
OR00003121,000020,MAT000029,CHEM,P003,28,491.85,13771.8,2022-08-12,L004
OR00003122,000010,MAT000019,CHEM,P004,49,469.74,23017.26,2022-07-17,L001
OR00003122,000020,MAT000017,PACK,P004,76,152.08,11558.08,2022-07-17,L002
OR00003123,000010,MAT000019,CHEM,P001,30,336.77,10103.1,2021-10-10,L003
OR00003123,000020,MAT000013,CONS,P001,56,438.31,24545.36,2021-10-10,L003
OR00003123,000030,MAT000032,PACK,P001,85,118.39,10063.15,2021-10-10,L002
OR00003124,000010,MAT000034,CONS,P002,148,327.09,48409.32,2023-02-06,L002
OR00003124,000020,MAT000027,PACK,P002,37,169.58,6274.46,2023-02-06,L002
OR00003124,000030,MAT000040,CHEM,P002,70,478.77,33513.9,2023-02-06,L002
OR00003125,000010,MAT000013,CONS,P004,59,248.61,14667.99,2023-09-10,L001
OR00003126,000010,MAT000022,ELEC,P004,25,444.74,11118.5,2023-05-31,L002
OR00003126,000020,MAT000009,ELEC,P004,216,21.61,4667.76,2023-05-31,L003
OR00003126,000030,MAT000011,CHEM,P004,4,111.32,445.28,2023-05-31,L003
OR00003126,000040,MAT000012,CONS,P004,41,499.87,20494.67,2023-05-31,L002
OR00003127,000010,MAT000014,PACK,P005,8,160.37,1282.96,2023-07-21,L004
OR00003127,000020,MAT000023,CHEM,P005,47,204.45,9609.15,2023-07-21,L004
OR00003127,000030,MAT000003,MECH,P005,99,378.96,37517.04,2023-07-21,L004
OR00003128,000010,MAT000039,CHEM,P005,205,348.89,71522.45,2021-11-19,L003
OR00003129,000010,MAT000016,CONS,P002,74,99.0,7326.0,2024-06-10,L003
OR00003129,000020,MAT000011,CHEM,P002,103,444.69,45803.07,2024-06-10,L002
OR00003129,000030,MAT000039,CHEM,P002,17,274.09,4659.53,2024-06-10,L004
OR00003130,000010,MAT000033,CHEM,P004,180,172.89,31120.2,2023-12-25,L001
OR00003130,000020,MAT000003,MECH,P004,137,151.19,20713.03,2023-12-25,L004
OR00003131,000010,MAT000005,ELEC,P001,284,134.02,38061.68,2023-11-19,L001
OR00003132,000010,MAT000012,CONS,P003,151,322.05,48629.55,2023-12-08,L003
OR00003133,000010,MAT000033,CHEM,P001,78,209.55,16344.9,2024-05-05,L002
OR00003133,000020,MAT000016,CONS,P001,52,302.3,15719.6,2024-05-05,L004
OR00003134,000010,MAT000004,PACK,P001,76,22.99,1747.24,2023-04-15,L004
OR00003134,000020,MAT000039,CHEM,P001,110,371.09,40819.9,2023-04-15,L003
OR00003135,000010,MAT000015,ELEC,P001,56,194.04,10866.24,2022-05-22,L004
OR00003135,000020,MAT000020,ELEC,P001,162,388.94,63008.28,2022-05-22,L002
OR00003136,000010,MAT000031,MECH,P002,135,327.79,44251.65,2023-06-08,L002
OR00003136,000020,MAT000014,PACK,P002,96,467.52,44881.92,2023-06-08,L001
OR00003137,000010,MAT000017,PACK,P004,126,458.84,57813.84,2023-09-19,L002
OR00003137,000020,MAT000029,CHEM,P004,27,36.34,981.18,2023-09-19,L001
OR00003137,000030,MAT000034,CONS,P004,24,130.36,3128.64,2023-09-19,L001
OR00003138,000010,MAT000004,PACK,P002,190,338.27,64271.3,2023-09-15,L003
OR00003138,000020,MAT000008,PACK,P002,5,139.57,697.85,2023-09-15,L001
OR00003138,000030,MAT000022,ELEC,P002,168,382.12,64196.16,2023-09-15,L003
OR00003138,000040,MAT000015,ELEC,P002,212,302.78,64189.36,2023-09-15,L003
OR00003139,000010,MAT000009,ELEC,P001,64,182.15,11657.6,2023-03-28,L002
OR00003139,000020,MAT000010,PACK,P001,43,167.89,7219.27,2023-03-28,L002
OR00003139,000030,MAT000029,CHEM,P001,164,282.0,46248.0,2023-03-28,L001
OR00003140,000010,MAT000003,MECH,P003,10,434.81,4348.1,2021-10-23,L002
OR00003141,000010,MAT000017,PACK,P004,61,436.59,26631.99,2022-11-20,L001
OR00003141,000020,MAT000037,CHEM,P004,218,258.43,56337.74,2022-11-20,L001
OR00003141,000030,MAT000030,CONS,P004,193,223.97,43226.21,2022-11-20,L001
OR00003142,000010,MAT000014,PACK,P002,75,27.8,2085.0,2024-04-15,L004
OR00003143,000010,MAT000037,CHEM,P002,137,245.19,33591.03,2023-05-15,L001
OR00003143,000020,MAT000033,CHEM,P002,150,212.24,31836.0,2023-05-15,L003
OR00003143,000030,MAT000018,CHEM,P002,23,44.84,1031.32,2023-05-15,L002
OR00003144,000010,MAT000032,PACK,P005,173,234.61,40587.53,2023-04-10,L002
OR00003144,000020,MAT000003,MECH,P005,73,138.83,10134.59,2023-04-10,L002
OR00003145,000010,MAT000021,ELEC,P001,101,422.99,42721.99,2022-08-10,L002
OR00003146,000010,MAT000003,MECH,P005,89,137.13,12204.57,2022-11-18,L003
OR00003146,000020,MAT000004,PACK,P005,165,403.43,66565.95,2022-11-18,L003
OR00003146,000030,MAT000037,CHEM,P005,158,65.58,10361.64,2022-11-18,L004
OR00003146,000040,MAT000028,PACK,P005,168,459.41,77180.88,2022-11-18,L004
OR00003147,000010,MAT000020,ELEC,P004,128,400.44,51256.32,2024-03-07,L002
OR00003147,000020,MAT000040,CHEM,P004,9,198.42,1785.78,2024-03-07,L001
OR00003148,000010,MAT000016,CONS,P005,121,345.5,41805.5,2023-07-16,L004
OR00003149,000010,MAT000026,CHEM,P003,71,264.62,18788.02,2023-11-01,L002
OR00003149,000020,MAT000035,MECH,P003,135,41.03,5539.05,2023-11-01,L004
OR00003150,000010,MAT000010,PACK,P005,9,209.82,1888.38,2023-02-02,L003
OR00003151,000010,MAT000014,PACK,P004,141,108.38,15281.58,2023-06-18,L002
OR00003151,000020,MAT000026,CHEM,P004,142,442.85,62884.7,2023-06-18,L002
OR00003151,000030,MAT000013,CONS,P004,13,484.19,6294.47,2023-06-18,L002
OR00003151,000040,MAT000036,CHEM,P004,15,248.58,3728.7,2023-06-18,L002
OR00003152,000010,MAT000032,PACK,P003,121,119.72,14486.12,2022-07-18,L003
OR00003152,000020,MAT000003,MECH,P003,145,352.29,51082.05,2022-07-18,L002
OR00003153,000010,MAT000012,CONS,P004,131,417.29,54664.99,2023-08-17,L002
OR00003154,000010,MAT000019,CHEM,P002,95,441.76,41967.2,2023-01-10,L001
OR00003155,000010,MAT000006,MECH,P003,60,271.59,16295.4,2023-01-23,L002
OR00003156,000010,MAT000028,PACK,P005,36,276.66,9959.76,2023-07-03,L001
OR00003156,000020,MAT000036,CHEM,P005,147,470.13,69109.11,2023-07-03,L002
OR00003157,000010,MAT000005,ELEC,P004,136,42.89,5833.04,2024-05-11,L003
OR00003157,000020,MAT000020,ELEC,P004,108,213.2,23025.6,2024-05-11,L003
OR00003157,000030,MAT000004,PACK,P004,116,60.05,6965.8,2024-05-11,L001
OR00003157,000040,MAT000019,CHEM,P004,2,478.06,956.12,2024-05-11,L003
OR00003158,000010,MAT000033,CHEM,P005,184,326.52,60079.68,2021-10-14,L001
OR00003158,000020,MAT000038,PACK,P005,27,24.19,653.13,2021-10-14,L001
OR00003158,000030,MAT000022,ELEC,P005,2,118.69,237.38,2021-10-14,L002
